Measurement	Well	OCR	worm_num	label	norm
1	2	186.6816055	30	swip10	6.222720183333333
2	2	208.7492648	30	swip10	6.958308826666666
3	2	96.00398268	30	swip10	3.200132756
4	2	218.8853677	30	swip10	7.296178923333333
5	2	169.9544876	30	swip10	5.665149586666667
6	2	102.2245895	30	swip10	3.4074863166666662
7	2	151.1612206	30	swip10	5.038707353333334
8	2	641.7854773	30	swip10	21.392849243333334
9	2	459.0602346	30	swip10	15.30200782
10	2	759.4921458	30	swip10	25.31640486
11	2	1648.034304	30	swip10	54.9344768
12	2	1512.881949	30	swip10	50.4293983
13	2	1124.871144	30	swip10	37.4957048
14	2	867.8326482	30	swip10	28.92775494
15	2	58.83007115	30	swip10	1.9610023716666667
16	2	95.29440469	30	swip10	3.176480156333333
17	2	133.5021489	30	swip10	4.45007163
18	2	156.0733187	30	swip10	5.2024439566666665
1	3	611.395404	62	N2	9.861216193548387
2	3	661.0164613	62	N2	10.661555827419354
3	3	654.996404	62	N2	10.564458129032257
4	3	681.6763095	62	N2	10.994779185483871
5	3	477.911165	62	N2	7.708244596774193
6	3	572.5512245	62	N2	9.234697169354838
7	3	670.9634964	62	N2	10.821991877419356
8	3	1273.473184	62	N2	20.53989006451613
9	3	1099.273537	62	N2	17.73021833870968
10	3	1779.630229	62	N2	28.703713370967744
11	3	1566.389844	62	N2	25.264352322580645
12	3	1475.637416	62	N2	23.80060348387097
13	3	1274.294181	62	N2	20.553131951612905
14	3	1278.272346	62	N2	20.617295903225806
15	3	68.022342	62	N2	1.0971345483870967
16	3	141.5899783	62	N2	2.283709327419355
17	3	197.1736003	62	N2	3.1802193596774195
18	3	253.1743215	62	N2	4.083456798387097
1	4	1191.661751	90	N2	13.240686122222224
2	4	1366.469926	90	N2	15.182999177777777
3	4	1368.405555	90	N2	15.204506166666667
4	4	1255.219285	90	N2	13.946880944444443
5	4	1507.121076	90	N2	16.745789733333332
6	4	1735.165676	90	N2	19.279618622222223
7	4	1471.967615	90	N2	16.355195722222224
8	4	1351.031107	90	N2	15.011456744444445
9	4	1332.559863	90	N2	14.806220699999999
10	4	1054.593253	90	N2	11.717702811111112
11	4	1083.556249	90	N2	12.039513877777777
12	4	979.1242963	90	N2	10.879158847777777
13	4	1046.505882	90	N2	11.627843133333332
14	4	1247.638842	90	N2	13.8626538
15	4	310.3735221	90	N2	3.44859469
16	4	367.2219402	90	N2	4.08024378
17	4	442.9886022	90	N2	4.92209558
18	4	458.6484976	90	N2	5.096094417777778
1	5	1166.306108	100	swip20	11.66306108
2	5	1050.755983	100	swip20	10.50755983
3	5	978.455138	100	swip20	9.78455138
4	5	912.6611233	100	swip20	9.126611233
5	5	596.2593569	100	swip20	5.962593568999999
6	5	567.4529881	100	swip20	5.674529881
7	5	1564.784802	100	swip20	15.64784802
8	5	1789.400212	100	swip20	17.89400212
9	5	1373.26128	100	swip20	13.7326128
10	5	1832.28504	100	swip20	18.3228504
11	5	1793.329425	100	swip20	17.93329425
12	5	1290.444062	100	swip20	12.90444062
13	5	433.9217672	100	swip20	4.339217672
14	5	286.6789039	100	swip20	2.8667890390000004
15	5	482.3506122	100	swip20	4.823506122
16	5	455.6968647	100	swip20	4.556968647
17	5	487.625781	100	swip20	4.87625781
18	5	464.3769884	100	swip20	4.643769884
1	6	1126.703509	130	swip20	8.666950069230769
2	6	1225.11678	130	swip20	9.423975230769232
3	6	993.7922177	130	swip20	7.644555520769231
4	6	944.6990006	130	swip20	7.266915389230769
5	6	768.8261532	130	swip20	5.9140473323076925
6	6	1179.869267	130	swip20	9.07591743846154
7	6	1425.804152	130	swip20	10.967724246153846
8	6	1699.401007	130	swip20	13.072315438461539
9	6	1287.562342	130	swip20	9.904325707692307
10	6	1121.024347	130	swip20	8.623264207692309
11	6	1599.382189	130	swip20	12.302939915384615
12	6	1681.698639	130	swip20	12.936143376923077
13	6	1389.204195	130	swip20	10.686186115384615
14	6	1610.757095	130	swip20	12.390439192307692
15	6	397.1677868	130	swip20	3.0551368215384613
16	6	400.2958956	130	swip20	3.079199196923077
17	6	421.4207923	130	swip20	3.2416984023076925
18	6	423.4068199	130	swip20	3.2569755376923077
1	7	332.0876495	34	swip10	9.76728380882353
2	7	228.9470913	34	swip10	6.733737979411765
3	7	255.2972512	34	swip10	7.508742682352941
4	7	169.6592846	34	swip10	4.98997895882353
5	7	166.5914149	34	swip10	4.899747497058823
6	7	116.2067893	34	swip10	3.417846744117647
7	7	167.5041121	34	swip10	4.926591532352941
8	7	15.47726123	34	swip10	0.4552135655882353
9	7	383.8007652	34	swip10	11.2882578
10	7	81.12015335	34	swip10	2.385886863235294
11	7	61.48509655	34	swip10	1.8083851926470589
12	7	141.932152	34	swip10	4.174475058823529
13	7	67.13621054	34	swip10	1.9745944276470586
14	7	84.99516432	34	swip10	2.499857774117647
15	7	106.1945896	34	swip10	3.123370282352941
16	7	140.4946934	34	swip10	4.132196864705882
17	7	124.0877856	34	swip10	3.6496407529411767
18	7	89.14050173	34	swip10	2.6217794626470585
1	8	52.92817234	30	swip10	1.7642724113333335
2	8	61.33180459	30	swip10	2.044393486333333
3	8	206.2951544	30	swip10	6.876505146666667
4	8	269.8068949	30	swip10	8.993563163333333
5	8	130.24246779999999	30	swip10	4.341415593333333
6	8	38.85376438	30	swip10	1.2951254793333333
7	8	99.60933675	30	swip10	3.3203112249999998
8	8	558.7231656	30	swip10	18.62410552
9	8	346.2759091	30	swip10	11.542530303333333
10	8	490.1001134	30	swip10	16.336670446666666
11	8	1523.667985	30	swip10	50.788932833333334
12	8	469.6111437	30	swip10	15.65370479
13	8	155.534238	30	swip10	5.1844746
14	8	110.6624366	30	swip10	3.688747886666667
15	8	41.48695328	30	swip10	1.3828984426666666
16	8	55.11988715	30	swip10	1.8373295716666667
17	8	66.88654808	30	swip10	2.2295516026666666
18	8	69.01895501	30	swip10	2.3006318336666665
1	9	899.274164	85	N2	10.579696047058825
2	9	942.152831	85	N2	11.084150952941176
3	9	1243.03784	85	N2	14.623974588235294
4	9	962.1381152	85	N2	11.319271943529412
5	9	1163.523955	85	N2	13.688517117647057
6	9	981.1162815	85	N2	11.542544488235293
7	9	1195.318736	85	N2	14.062573364705882
8	9	1493.131693	85	N2	17.566255211764705
9	9	1513.64056	85	N2	17.807536
10	9	1709.099503	85	N2	20.107052976470587
11	9	1108.011874	85	N2	13.035433811764706
12	9	1413.6619	85	N2	16.631316470588235
13	9	1248.813887	85	N2	14.691928082352941
14	9	1115.541726	85	N2	13.124020305882352
15	9	153.3363129	85	N2	1.803956622352941
16	9	293.4801686	85	N2	3.452707865882353
17	9	383.0236066	85	N2	4.506160077647059
18	9	407.4729875	85	N2	4.793799852941176
1	11	365.6965947	100	swip20	3.6569659469999998
2	11	982.2385353	100	swip20	9.822385353
3	11	918.1215711	100	swip20	9.181215711
