Well	label	group	basal	maximal	spare
2	swip10	swip-10	5.460387255333333	20.67042064111111	15.210033385777777
3	N2	N2	10.36241005	22.324607258064518	11.962197208064518
4	N2	N2	14.542730488888889	13.845126751851852	-0.6976037370370367
5	swip20	dhs-11	10.651724096666667	16.649821773333333	5.998097676666665
6	swip20	dhs-11	8.578493606923077	10.533301784615384	1.954808177692307
7	swip10	swip-10	8.003254823529412	4.70978607627451	-3.2934687472549022
8	swip10	swip-10	3.5617236814444446	15.50110209	11.939378408555555
9	N2	N2	12.095940529411765	18.493614729411764	6.397674199999999
11	swip20	dhs-11	7.5535223369999995	12.099263033333333	4.5457406963333336
12	swip20	dhs-11	4.283808175	9.123136492777778	4.839328317777778
13	swip10	swip-10	5.564596302222222	5.682404268296296	0.11780796607407407
14	swip10	swip-10	5.594504342857142	13.182788932539681	7.588284589682539
16	N2	N2	12.943504986666666	12.334441186666666	-0.6090637999999995
17	swip20	dhs-11	5.18108665962963	14.74570291037037	9.564616250740741
18	swip20	dhs-11	5.717173018245614	15.889562856140351	10.172389837894737
19	swip10	swip-10	3.4572773286666663	10.887139006533333	7.429861677866667
20	swip10	swip-10	6.066529653333333	13.818821994285715	7.752292340952382
21	N2	N2	10.214476586388889	9.900118152777777	-0.3143584336111118
22	N2	N2	10.749488342424241	13.388518933333334	2.6390305909090923
23	swip20	dhs-11	5.311128655999999	9.693186909	4.382058253
