CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C16360		7.6308	row36	E934
C00062	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid	4.0181	row175	E1093
C05478	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione; 5beta-Pregnane-3alpha,21-diol-11,20-dione	5.3448	row85	E326
C00025	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	7.9992	row29	E21
C00959	Prostaglandin B1	3.1421	row306	E804
C03772	5beta-Androstane-3,17-dione	4.0567	row170	E352
C00385	Xanthine	3.8231	row204	E52
C05472	Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one	-9.8712	row19	E925
C05472	Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one	4.0924	row166	E400
CE0347	12-hydroxyeicosatetraenoate	3.6167	row232	E1108
C05476	Tetrahydrocorticosterone	2.4954	row509	E974
C00123	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	6.0699	row65	E798
CE5016	13,14-dihydroxy-retinol	3.8307	row202	E1076
C00248	Lipoamide; Thioctic acid amide	-2.396	row541	E513
C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid	6.5412	row56	E304
C04006	1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate	3.1266	row308	E62
C05474	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al	3.7941	row208	E788
C00149	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid	4.9901	row107	E16
C00082	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	3.0924	row319	E376
C05965	12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid	3.1421	row306	E804
