SOURCE	TARGET	ENZYMES
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00085	2.6.1.16
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00020	;6.3.5.1;6.3.5.2;6.1.1.17;6.3.5.4
C00025	C00407	2.6.1.42
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C00144	6.3.5.2
C00025	C00352	2.6.1.16
C00025	C01165	;1.5.1.12;2.6.1.13
C00025	C00026	;2.3.1.61;2.6.1.9;2.6.1.5;2.6.1.6;2.6.1.7;2.6.1.1;2.6.1.2;2.6.1.3;2.6.1.52;2.6.1.-;1.4.1.3;1.4.1.2;1.4.1.4;2.6.1.55;2.1.1.45;2.6.1.16;2.4.2.14;6.1.1.17;2.6.1.13;1.1.99.2;2.6.1.23;2.6.1.39;1.14.11.1;2.6.1.19;1.1.1.95;1.2.4.2;1.14.11.18;1.1.99.24;1.14.11.16;2.3.2.2;6.3.5.1;6.3.2.17;6.3.2.12;1.5.1.9;3.4.11.4;3.5.1.38;1.8.1.4;2.7.2.11;6.3.1.2;6.3.2.2;1.14.11.4;2.6.1.40;2.6.1.42;2.1.2.5;2.6.1.65;1.5.1.8;2.6.1.22;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;1.14.11.2;2.3.1.1;3.5.2.9;4.1.1.15;1.14.11.8;1.5.1.7;1.5.1.12;3.5.1.2;3.5.1.3;1.1.1.42;1.1.1.41;4.1.1.19;2.6.1.57
C00025	C00956	2.6.1.39
C00025	C01045	2.1.2.5
C00025	C00123	2.6.1.6;2.6.1.42
C00025	C00183	2.6.1.6;2.6.1.42
C00025	C00082	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00149	C00122	4.2.1.2
C00020	C00104	;3.6.1.5
C00020	C00123	6.1.1.4
C00020	C00362	3.1.3.5
C00020	C00062	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00020	C00064	;6.1.1.18;6.3.5.2;6.3.5.1;6.3.5.4
C00020	C00144	6.3.5.2;3.1.4.17;6.3.4.1;2.4.2.8;3.6.1.17;3.1.3.5;3.6.1.5;2.4.2.7
C00020	CE4987	;6.2.1.3
C00020	C14770	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C00020	C14771	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C00020	C00559	3.1.3.5
C00020	C00219	;3.1.2.2;6.2.1.3
C00020	C00092	;2.7.1.147
C00020	C00122	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00020	C00078	;6.1.1.2
C00020	C00079	;1.3.3.6;6.1.1.20;1.1.1.35;6.1.1.1;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;3.1.2.2;5.1.99.4
C00020	CE2154	
C00020	C00135	6.1.1.21
C00020	C00174	6.2.1.2
C00020	C00299	3.1.3.5
C00020	C01712	6.2.1.3
C00020	C06427	3.1.2.2;6.2.1.3
C00020	C06426	3.1.2.2;6.2.1.3
C00020	C00082	;1.3.3.6;6.1.1.20;1.1.1.35;6.1.1.1;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;3.1.2.2;5.1.99.4
C00020	C00385	2.4.2.8
C00020	C01595	;3.1.2.2;6.2.1.3
C00020	C00407	6.1.1.5
