SOURCE	TARGET	ENZYMES
C00104	C01346	2.7.1.48;2.7.4.6
C00104	C00286	2.7.1.40;2.7.4.6;3.6.1.19;2.7.1.48
C00104	C00144	3.6.1.8;3.6.1.5;3.6.1.19;3.6.1.6
C00104	C00299	2.7.1.48
C00286	C01346	2.7.1.48;2.7.4.6
C00286	C00362	3.6.1.19
C00286	C00144	3.6.1.19
C00286	C00299	2.7.1.48
C00362	C00559	3.1.3.5
C00362	C00144	3.6.1.19;2.7.4.8;3.1.3.5
C00362	C00299	3.1.3.5
C00385	C00262	1.17.3.2;2.4.2.22;3.2.2.2;2.4.2.8;3.2.2.1;1.17.1.4;2.4.2.1;3.5.4.3;3.2.2.8;2.4.2.4
C00385	C00559	2.4.2.1;2.4.2.4
C00385	C00144	2.4.2.8;2.4.2.22
C00144	C00299	3.1.3.5
C00144	C00559	3.1.3.5
C00144	C00262	2.4.2.8;2.4.2.22
C00299	C00559	3.1.3.5
C00299	C01346	2.7.1.48
C00559	C00262	2.4.2.1;2.4.2.4
