"pathway"	"overlap_size"	"pathway_size"	"p.value"	"EID"	"massfeature_rows"	"adduct"	"compound_id"	"compound_annotation"	"m.z"	"retention_time"	"p_value"	"statistic"
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E326"	"row166"	"M-H[-]"	"C05487;C05475;C05478"	"17alpha,21-Dihydroxypregnenolone$11beta,21-Dihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,21-diol-3,20-dione$3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione; 5beta-Pregnane-3alpha,21-diol-11,20-dione"	347.2229116	222.7753017	0.0034743	4.0924
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E326"	"row85"	"M(C13)-H[-]"	"C05487;C05475;C05478"	"17alpha,21-Dihydroxypregnenolone$11beta,21-Dihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,21-diol-3,20-dione$3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione; 5beta-Pregnane-3alpha,21-diol-11,20-dione"	348.2260744	222.2108426	0.00069012	5.3448
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E703"	"row1108"	"M(C13)-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	366.2402417	188.3987405	0.1848	-1.4511
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E703"	"row519"	"M-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	365.2369299	188.652865	0.039308	-2.4602
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E925"	"row19"	"M-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	365.2331907	266.0415452	9.35e-06	-9.8712
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E925"	"row2645"	"M(C13)-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	366.2400735	265.8075602	0.81017	-0.24828
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E788"	"row208"	"M-H[-]"	"C05489;C05471;C05470;C05474"	"11beta,17alpha,21-Trihydroxypregnenolone$11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,17alpha,21-triol-3,20-dione$Urocortisone$3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al"	363.2211681	241.4704129	0.0052809	3.7941
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E153"	"row360"	"M(C13)-H[-]"	"C04373;C03917;C04295;C05293;C00523"	"3alpha-Hydroxy-5beta-androstan-17-one; Etiocholan-3alpha-ol-17-one; 3alpha-Hydroxyetiocholan-17-one$17beta-Hydroxyandrostan-3-one; 5alpha-Dihydrotestosterone; Androstanolone; 17beta-Hydroxy-5alpha-androstan-3-one$Androst-5-ene-3beta,17beta-diol; 3beta,17beta-Dihydroxyandrost-5-ene; 3beta,17beta-Dihydroxy-5-androstene; Androstenediol$5beta-Dihydrotestosterone$Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one"	290.2205444	222.9764832	0.019321	2.919
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E153"	"row405"	"M-H[-]"	"C04373;C03917;C04295;C05293;C00523"	"3alpha-Hydroxy-5beta-androstan-17-one; Etiocholan-3alpha-ol-17-one; 3alpha-Hydroxyetiocholan-17-one$17beta-Hydroxyandrostan-3-one; 5alpha-Dihydrotestosterone; Androstanolone; 17beta-Hydroxy-5alpha-androstan-3-one$Androst-5-ene-3beta,17beta-diol; 3beta,17beta-Dihydroxyandrost-5-ene; 3beta,17beta-Dihydroxy-5-androstene; Androstenediol$5beta-Dihydrotestosterone$Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one"	289.2173745	222.8618553	0.024227	2.7719
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E352"	"row1251"	"M(C13)-H[-]"	"C00535;C03772;C00674;dhea;C01227"	"Testosterone; 17beta-Hydroxy-4-androsten-3-one$5beta-Androstane-3,17-dione$5alpha-Androstane-3,17-dione; Androstanedione$Dehydroepiandrosterone$3beta-Hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; Dehydroisoandrosterone; DHA; DHEA"	288.204963	209.5213713	0.22687	1.309
