massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	467.8378103	26.7236063	1.76e-09	-29.771	
row2	211.1704466	184.7703157	1.49e-07	16.951	
row3	329.2528515	215.73928	2.32e-07	16.011	
row4	328.2493389	208.2204442	2.49e-07	15.87	
row5	661.320763	110.278934	4.17e-07	14.85	
row6	251.2015732	210.7725382	4.41e-07	14.741	
row7	838.6446599	27.85360797	5.94e-07	-14.184	
row8	323.2062111	182.6522003	7.88e-07	-13.674	
row9	196.0728314	24.3211383	8.23e-07	13.598	
row10	342.265111	205.8658694	9.37e-07	13.37	
row11	129.0193948	38.22129266	1.28e-06	12.838	
row12	340.2495538	208.0340688	1.68e-06	12.386	
row13	524.2997772	180.4559623	2.5e-06	11.758	
row14	354.2651103	211.8897174	2.79e-06	11.592	
row15	240.2050761	219.8270628	3.36e-06	11.31	
row16	164.0717716	25.804745	3.73e-06	11.155	
row17	610.2987117	76.6694028	4.42e-06	10.909	
row18	145.0619385	40.61093146	5.38e-06	10.626	
row19	365.2331907	266.0415452	9.35e-06	-9.8712	
row20	510.2838012	174.2355269	1.08e-05	9.6839	
row21	147.0299802	23.50251018	1.09e-05	9.6664	
row22	160.0615594	22.76402321	1.1e-05	9.6614	
row23	358.0702949	34.95422717	1.86e-05	8.9943	
row24	365.2328085	219.6248485	2.27e-05	-8.7523	
row25	372.9962981	133.4796636	3.15e-05	-8.3715	
row26	265.2173826	227.2707148	3.2e-05	8.3508	
row27	295.2642672	272.1811865	3.58e-05	8.2241	
row28	215.0328547	24.86927928	3.82e-05	8.1509	
row29	147.0493323	21.09322589	4.37e-05	7.9992	
row30	171.0064968	26.23291783	4.46e-05	7.9768	
row31	279.3191074	237.4792036	4.76e-05	7.9054	
row32	316.2494539	205.7469449	4.98e-05	7.8541	
row33	498.8378094	27.99139849	5.21e-05	-7.8054	
row34	326.241727	237.6335062	5.47e-05	7.753	
row35	275.2016982	207.4817672	5.71e-05	7.706	
row36	195.0510164	26.5452708	6.13e-05	7.6308	
row37	879.8664443	21.73074788	6.14e-05	-7.629	
row38	575.070573	207.280806	6.21e-05	-7.6155	
row39	770.4555616	215.0331763	7.09e-05	-7.4754	
