"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"85.8102322566191/149.773505432971","-0.3080294","-0.9844970"," 0.9808437"," 1.6159506"," 0.1001834","-1.2811226"," 0.7396418","-1.0717303","-0.6005154"," 0.8092752"
"85.8158996505704/145.361478867063"," 1.9977326","-0.4737867","-0.4737867","-0.4737867","-0.4737867"," 1.7925608","-0.4737867","-0.4737867","-0.4737867","-0.4737867"
"85.877091710346/63.7151897516773"," 1.0474087"," 0.7172866","-0.9151882"," 0.7397412"," 1.5396396"," 0.5318650","-0.9151882","-0.9151882","-0.9151882","-0.9151882"
"87.0087747213504/53.7090867129607"," 0.6159375","-0.5043799"," 0.2522305"," 0.7078327","-1.3605145"," 1.0212190","-1.3841417"," 0.4521577"," 1.2761498","-1.0764912"
"87.5203627054639/163.952723997775"," 0.1643162"," 0.6044875","-1.4244653"," 0.6963687"," 0.6704128"," 0.7305566","-1.4244653"," 0.5275398"," 0.8797141","-1.4244653"
"88.0404315229348/29.4629383785503"," 0.24347580"," 0.08610154"," 1.02011174"," 0.20543900"," 1.02647633","-1.82599940"," 0.84403199","-0.45513234","-1.54386557"," 0.39936091"
"89.019278994001/25.1026425443893"," 1.54032252","-0.73127763"," 0.11512211","-0.22282765","-0.05880184"," 0.06901853"," 1.82095976","-1.43083633","-0.71127227","-0.39040720"
"89.1464054030568/28.5521596541715","-0.2292914","-0.6392494"," 0.5854797","-1.8640192","-0.7532579"," 0.9877389","-0.5624316"," 0.2488351"," 0.7117356"," 1.5144604"
"89.9236766153474/116.814275722247","-0.4378067"," 0.9348284","-0.4378067","-0.4378067","-0.4378067","-0.4378067"," 2.5676251","-0.4378067","-0.4378067","-0.4378067"
"91.0287153793939/114.549031734209"," 1.6234922"," 0.2186000","-0.1158518"," 0.7432038","-0.3014987","-1.7675467"," 0.9454568","-1.1340151","-0.5141322"," 0.3022915"
"91.0311505443722/21.8314903245712"," 0.1125557"," 1.2829237"," 0.6265912"," 0.6607860","-0.2624880","-1.9317907","-1.0560087"," 0.6336481"," 0.7390997","-0.8053170"
"91.2400513182055/220.819123299586"," 0.07081121"," 0.15132872"," 0.97262967"," 0.80645273"," 0.77295198","-2.16500330"," 0.29813093","-0.84713467","-0.83092308"," 0.77075581"
"92.0345179329332/34.5265251442102"," 0.72915182","-0.03333826"," 0.19506830"," 1.47597429"," 1.65230242","-0.84352979","-1.06217672","-1.06217672","-0.52563766","-0.52563766"
"93.0081323336548/104.719816442208","-0.01993188","-0.40179204","-0.44447616","-0.25205720","-0.30425811","-0.13377025"," 2.81238470","-0.27556194","-0.50506511","-0.47547201"
"93.0345425540715/38.3948565494989"," 0.21395524"," 0.05197983","-1.18036227","-1.43505577"," 0.92367134"," 0.13009729"," 1.88048454"," 0.16006616","-1.00073067"," 0.25589431"
"94.7267916429785/147.287543437952","-1.4395011","-1.4395011"," 0.5590283"," 0.7923883"," 0.6581593","-1.4395011"," 0.7954513"," 0.5564143"," 0.4091747"," 0.5478872"
"94.7334381155817/139.358776666911","-0.94585208"," 0.77772982"," 0.56273580","-0.54418182"," 0.05620973","-1.49607332"," 2.01809469"," 0.08909947","-0.72343257"," 0.20567027"
"94.9421369704974/26.3145987570672"," 0.03593777"," 0.27732573","-2.52377352"," 0.37708690"," 0.06619332","-0.07765482"," 1.50828649"," 0.24725997"," 0.21744565","-0.12810750"
"94.9868918527/109.617339710508"," 0.8018084"," 0.6547337","-1.4404675"," 0.4044622","-1.4404675"," 0.6017469"," 0.4916966"," 0.7138892","-1.4404675"," 0.6530656"
"94.9884792595203/142.877936074554"," 0.3875652","-0.1896126"," 0.2931576"," 0.4073580","-0.3924672"," 0.6793506","-2.6731641"," 0.4545576"," 0.3431717"," 0.6900831"
"95.2288398289847/139.071261393227","-0.42661889","-0.36983629"," 0.19537317"," 0.12216591","-0.90965221","-0.24137274"," 2.52042059"," 0.20991159","-1.15862845"," 0.05823732"
"95.2355001465948/141.246448281268","-1.3633482","-1.3633482"," 0.7127802"," 0.8188175"," 0.8197762","-1.3633482"," 0.7713847","-0.3313044"," 0.5367600"," 0.7618305"
"95.9523083169555/87.2224203843156"," 1.18459002","-0.50876164"," 1.69190230","-1.37788267"," 0.22817075","-0.99974239"," 0.22112186","-0.05056182","-1.03054590"," 0.64170948"
"95.9627801085042/122.242804137411","-0.78133946"," 0.25612796","-0.78133946"," 0.08101428"," 0.61300274","-0.78133946"," 2.45932269","-0.24566496","-0.03844487","-0.78133946"
"95.985030688606/146.420747676131"," 0.004221107"," 0.129952513","-0.760315642","-0.536033004"," 0.167565161","-0.131649424"," 2.608683449","-1.003632506","-0.508788987"," 0.029997334"
"96.2078926481318/57.67924369741"," 0.7749052"," 0.4598777","-1.2232801","-1.2232801"," 0.5570312","-0.9861473"," 1.7695553"," 0.1830325","-0.7470461"," 0.4353517"
"96.3956168087369/25.7819582345445","-0.05072861"," 1.17846771"," 0.19713329","-1.20365054","-1.87309311"," 1.37881314","-0.27282720"," 0.29702868","-0.31947939"," 0.66833602"
"96.4514008889079/97.3649956443249","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278","-0.3162278"
"96.4608074675673/57.3515267556468","-0.4352283","-0.4352283","-0.4352283","-0.4352283","-0.4352283","-0.4352283"," 2.5844336"," 0.8973928","-0.4352283","-0.4352283"
"96.7052283863173/33.7337298116872","-1.26015205","-0.38548107"," 0.24781623","-0.52950053","-0.93431606","-0.41132276"," 2.28466109"," 0.76974716","-0.03809616"," 0.25664416"
"96.7146676924275/34.7780119432901","-0.7319894","-0.6903320","-0.1199164","-0.4453966","-0.7116950","-0.2346913"," 2.2804867"," 1.3312039","-0.4128075","-0.2648624"
"96.9486487762346/37.5535081915456","-1.8315951"," 0.1392076"," 0.4789277"," 0.1319945","-1.8315951"," 0.3033292"," 1.0620952"," 0.4782731"," 0.4912245"," 0.5781384"
"96.9542779499026/37.1557128753211","-0.73922209","-0.96131383","-0.03055990","-0.81751911","-0.98165303"," 0.77675893"," 2.27057384"," 0.01423235"," 0.11685963"," 0.35184321"
"96.9635170323761/34.0263831555046","-0.2483240","-0.6142268","-0.7520513","-0.4769519","-0.4223029"," 1.1076672"," 2.4468463","-0.4036808","-0.3886517","-0.2483240"
"96.9659473426138/38.6570224710437","-0.7704804","-0.7704804"," 1.2814302","-0.7704804"," 0.9000707","-0.7704804","-0.7704804"," 1.1668550","-0.7704804"," 1.2745266"
"96.9722821384176/42.1486287078622"," 1.8470492","-0.4742109","-0.4742109","-0.4742109","-0.4742109"," 1.9466384","-0.4742109","-0.4742109","-0.4742109","-0.4742109"
"96.9756558554707/37.4256637613616"," 0.33173211","-0.15504491","-0.60151436","-0.98134174","-0.73124856"," 0.71278603"," 2.44406441","-0.29602019","-0.65796096","-0.06545182"
"96.9808736578467/31.2403204860444","-0.89067988"," 0.02439794"," 0.82610337","-0.86825215","-1.93582932"," 1.18561170","-0.13691179"," 0.24913155"," 1.18561170"," 0.36081689"
"97.0295039032958/106.524433215749"," 0.69624443"," 0.46010212","-2.63816430","-0.39678466"," 0.51704751"," 0.41443390"," 0.74027331","-0.02361084"," 0.40847795","-0.17801941"
"97.1295446513578/291.940441426809"," 0.4271859"," 0.7688037"," 0.8548714"," 1.1137360","-1.1128568","-1.1128568"," 1.1299708"," 0.1568593","-1.1128568","-1.1128568"
"97.2159966538421/38.6537916525388","-1.34780742","-0.51844831"," 0.39072909","-0.43222815","-0.89595983","-0.46765615"," 2.18453583"," 0.81740581","-0.06155657"," 0.33098570"
"97.2254806861004/34.6191317836209","-0.54255652","-0.42657467","-0.09465145","-0.51599835","-0.74126296","-0.39773146"," 2.34821931"," 1.26665821","-0.54987377","-0.34622834"
"97.4727689033137/59.0943698910522","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278","-0.3162278"
"97.4823906019414/73.652244045106","-0.4340963","-0.4340963","-0.4340963","-0.4340963","-0.4340963","-0.4340963"," 2.5914921"," 0.8812784","-0.4340963","-0.4340963"
"97.7475073521495/67.9882829254125","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278","-0.3162278"
"98.0247284787545/222.719326975713"," 0.3405860","-1.5159529"," 1.3144142","-0.8447362","-0.3877046"," 0.4067159","-0.1877945"," 1.8251382","-0.4024895","-0.5481766"
"99.0452723707669/153.550800744067","-0.17314271","-0.02783115"," 0.15443803","-0.51619661","-0.67104999","-0.84773703"," 2.71380818","-0.23907586","-0.26992262","-0.12329024"
"99.9258137785305/185.889228641634","-0.5952195","-0.7087597","-0.2760651","-1.2240515"," 2.0195274"," 0.2080299","-0.3054507","-0.3864838","-0.2023966"," 1.4708697"
"100.030662868291/26.2113709146517"," 0.22380884","-1.03119840"," 0.67659282"," 0.07019480"," 0.74559797","-0.96735200","-0.43636057","-1.24033322","-0.08920639"," 2.04825615"
"100.280183010734/69.5531891757518","-0.6200432","-0.6200432","-0.6200432"," 1.5844577"," 1.3557900","-0.6200432","-0.6200432","-0.6200432"," 1.4000545","-0.6200432"
"100.809307203532/275.76685829959"," 0.4605836"," 0.5019041"," 0.2982801"," 0.6200202"," 0.5694153","-1.8893167","-1.8893167"," 0.3612115"," 0.5066350"," 0.4605836"
"100.946077968574/157.417145814243"," 1.08442877","-0.09029319","-0.06263865"," 0.48303423","-0.31972817"," 1.18349544","-2.43625329"," 0.02548701"," 0.32213879","-0.18967093"
"100.953441800645/278.336569486275"," 0.49286053"," 0.34669192"," 0.02992063"," 0.39535367"," 0.34872709","-2.81009566"," 0.08472504"," 0.43399072"," 0.47343975"," 0.20438630"
"101.060792831821/32.6825166216139"," 0.8091689"," 0.9350883"," 1.2483968","-1.2916461"," 0.6394294","-0.9892823"," 0.3350996","-1.6345294","-0.2144704"," 0.1627453"
"102.177156948131/241.360460385222"," 0.23834526"," 0.32070494"," 0.06600150"," 0.17548398"," 0.86001595","-2.71133423","-0.03734172"," 0.81217376"," 0.22496188"," 0.05098868"
"102.747286153763/228.027559012916"," 0.3887201"," 0.7051452","-1.3682435","-1.3682435"," 0.5409796","-1.1362365"," 1.3251059","-0.3750003"," 0.2578272"," 1.0299458"
"102.963298096857/25.2381369377281"," 0.03431475"," 0.01637477","-2.67005717"," 0.72789960"," 0.05263041"," 0.33082443"," 1.04811844"," 0.15938821","-0.02031562"," 0.32082219"
"104.780136358478/222.026950467935"," 0.38861926"," 0.03943332"," 0.13108802"," 1.00494154","-0.15486400"," 1.05508391"," 0.34452075","-2.48063204"," 0.25843223","-0.58662299"
"105.564555090651/236.537817654538","-0.93134975","-1.97157680"," 0.16033165","-0.27438785"," 0.37303034"," 0.58690284"," 1.87137538","-0.15003534","-0.03210051"," 0.36781004"
"106.069466430642/20.2596683661792"," 0.3718488"," 0.2944899"," 0.4020833"," 0.2252667"," 0.5063445","-0.5553490","-2.5297541","-0.3461895"," 0.5437988"," 1.0874607"
"106.269822507412/256.006021859032"," 0.5649875","-0.4305025"," 0.6881036"," 0.7778197"," 0.1693093","-0.7429027","-2.4431609"," 0.1603778"," 0.7906372"," 0.4653309"
"106.57360054043/280.473674100606"," 0.23572840"," 0.05393255"," 0.47758655"," 0.58288373"," 0.63454208","-2.75512121","-0.21601028"," 0.31075178"," 0.27141588"," 0.40429052"
"107.17871551452/234.551793150658","-0.11022895"," 0.67558540"," 0.25092011"," 0.83119816","-0.24739245","-2.42155316","-0.04509827"," 0.47991010"," 1.14421964","-0.55756057"
"107.791149002408/215.042898224881","-1.11966951"," 1.56166647"," 1.14744886","-0.05661688","-0.39527983","-0.11552038","-1.79442409","-0.13082154"," 0.15738908"," 0.74582783"
"108.006729288972/170.290989761158","-0.38968251"," 0.03572886","-0.90020302"," 0.17399547"," 0.45163887","-0.72202977"," 2.57258153","-0.08671054","-0.49431943","-0.64099945"
"108.021701695449/158.530254085818"," 1.26781737"," 0.58543739","-0.41895734","-0.92435532","-0.68866200"," 2.00909192","-0.38792061","-1.13646136","-0.25398193","-0.05200812"
"108.719747038388/226.5343469287"," 0.009339003","-1.027958732"," 0.281661995","-0.070420122"," 0.756502061","-1.364362880"," 2.141633697","-0.901685382"," 0.158866458"," 0.016423902"
"109.03153880255/237.446051973967"," 0.17632019","-0.68531017","-0.04781135"," 0.80241087","-1.08473636","-1.25959216"," 1.55196762"," 0.69053194"," 0.97551421","-1.11929479"
"109.660135061004/216.201732913665"," 0.0145860528","-0.0006390188"," 1.7563760906","-0.5933591547"," 0.3941627505","-1.1279242425"," 1.0432034671"," 0.0372309225"," 0.2089758654","-1.7326127330"
"110.32614599872/271.576102711647","-0.4742054","-0.4742054","-0.4742054","-0.4742054"," 1.9476643","-0.4742054","-0.4742054","-0.4742054"," 1.8459788","-0.4742054"
"110.933410436414/31.871305587136"," 0.8268670","-0.1314185","-0.2068634","-2.1585153"," 0.2821925","-0.2277715","-1.0350897"," 0.6970070"," 0.9725184"," 0.9810736"
"110.933852395077/270.707710030045"," 0.16448830"," 0.09972845","-0.01201977"," 0.34620644","-0.19870645","-2.50520049"," 1.50281927"," 0.37719141"," 0.33782208","-0.11232923"
