"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"85.8102322566191/149.773505432971","5848.3125","2924.15625","197445","639817","1462.078125","93573","46786.5","23393.25","11696.625","187146"
"85.8158996505704/145.361478867063","585831.3333","1462.078125","1462.078125","1462.078125","731.0390625","473151.3333","23393.25","11696.625","5848.3125","5848.3125"
"85.877091710346/63.7151897516773","138057","147732.3333","1462.078125","109361.3333","211219.3333","180378","23393.25","11696.625","5848.3125","5848.3125"
"87.0087747213504/53.7090867129607","2443882","1815132","2401112","2633725","1148431","2820329.333","1352352.667","2738560.333","3880913.333","1433462"
"87.5203627054639/163.952723997775","161274.3333","392549.3333","1462.078125","381435.6667","317885","427742.3333","23393.25","344792.3333","539592","5848.3125"
"88.0404315229348/29.4629383785503","2506163","2592057.667","4447381.667","2593102","3763910.667","1010462.667","5129908.333","2170225","1329333.333","3400879.333"
"89.019278994001/25.1026425443893","688235.6667","253528.3333","230209","271680.6667","248589.3333","365668.6667","877202.6667","203908","229278","192487.3333"
"89.1464054030568/28.5521596541715","2184718.333","1762075.333","5675506.667","575834","1387782.333","5633938","2216459.5","3938065.333","6039931.333","12726485"
"89.9236766153474/116.814275722247","2924.15625","201220.5","1462.078125","1462.078125","731.0390625","46786.5","3656639.667","11696.625","5848.3125","5848.3125"
"91.0287153793939/114.549031734209","1307218.667","694492.6667","425601.6667","853471.6667","411937","269849.3333","971056.5","336169.3333","416597.3333","636273.3333"
"91.0311505443722/21.8314903245712","2052248","3602679.667","3024253.667","2671052","1766488","877548.6667","1497481.5","3048457.667","3301883.667","1540244"
"91.2400513182055/220.819123299586","272443.3333","345139","353405.6667","400988.3333","351275.6667","194358.6667","189182","237798.6667","198306.3333","349390.3333"
"92.0345179329332/34.5265251442102","42374520.33","37004341.33","55996963.67","50005271.33","65225299.33","20816800.33","39387278.33","31586822","38464599.33","42749207.67"
"93.0081323336548/104.719816442208","1249157.667","936202","697039","1022311.333","882154","1080183","52297339.67","1106757.333","806209","768827.3333"
"93.0345425540715/38.3948565494989","1504087.667","1486233.667","385084","374030.3333","2748385.333","1415056.333","10446093","1633788","569415.6667","1719691"
"94.7267916429785/147.287543437952","2924.15625","1462.078125","626332.3333","1194419.333","826365","46786.5","1302002.333","802254","557864.3333","709038"
"94.7334381155817/139.358776666911","268217.3333","1068536.333","721830","371543.3333","542922","263783","3181097.333","657426","332900","627850.6667"
"94.9421369704974/26.3145987570672","1932466.667","3335667.667","1462.078125","3813432.667","2066461","1596249.667","55938222.67","3499175","3429292.667","1548469.667"
"94.9868918527/109.617339710508","6658688.5","4654879","1462.078125","2294978.5","731.0390625","3636912","4150907.333","6169580","5848.3125","5954191.5"
"94.9884792595203/142.877936074554","634921","381471","510604.5","715443","209794","949063.5","23393.25","832392","678067","1026016.667"
"95.2288398289847/139.071261393227","363846","465896","524165","587499.3333","216381.6667","459187","5990610","705394.6667","234235","535747"
"95.2355001465948/141.246448281268","2924.15625","1462.078125","669395","975272.6667","890094","46786.5","896804","164757.3333","569808.3333","845726"
"95.9523083169555/87.2224203843156","4024223.667","2490729.333","6420343.333","1855435","2997351.333","1967663.667","4454210.5","3170253","2310715","4493384"
"95.9627801085042/122.242804137411","2924.15625","249742.5","1462.078125","136464","448998","46786.5","110782563.3","98019.5","97178.33333","5848.3125"
"95.985030688606/146.420747676131","1296309.667","1559262","907834.6667","1117093","1369968.333","1214610.333","5910796.667","1012417.333","1186383","1433304.667"
"96.2078926481318/57.67924369741","2341605","1190694.5","1462.078125","1462.078125","1305813.5","128054.5","51571269","586812.5","24356.5","1030918.5"
"96.3956168087369/25.7819582345445","1830081.333","5296228.667","2588353.667","739832.3333","369573.3333","5471920","1914248.5","2892792","1681845.333","4395213.667"
"96.4514008889079/97.3649956443249","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","839439021.7","11696.625","5848.3125","5848.3125"
"96.4608074675673/57.3515267556468","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","1432045784","1815391","5848.3125","5848.3125"
"96.7052283863173/33.7337298116872","891196.6667","2236166.333","4695430","1919815","1189500.333","2000842.667","43234019.33","7249592","3519887","5199961"
