"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"85.8102322566191/149.773505432971",0.016304,0.020016,-0.0083536,0.0066557,0.020002,0.0084901,0.011983,-0.023329,0.04211,-0.046533
"85.8158996505704/145.361478867063",-0.023168,-0.020152,-0.0045238,0.0074011,0.0068196,0.011679,-0.014129,0.032449,0.023668,0.061925
"85.877091710346/63.7151897516773",-0.030683,0.012644,-0.019397,0.015825,0.0013554,-0.0038009,0.010056,0.0065545,-0.00048199,-0.017917
"87.0087747213504/53.7090867129607",-0.017155,-0.008862,0.023323,-0.024638,0.0058181,-0.014805,-0.032132,-0.0047816,0.021919,-0.18994
"87.5203627054639/163.952723997775",-0.028256,0.0026495,0.0072136,-0.0028949,-0.014612,-0.036945,-0.0057746,-0.0041219,-0.013503,-0.13701
"88.0404315229348/29.4629383785503",0.014636,0.026424,-0.024336,0.00034171,0.0051721,0.022609,0.018388,0.010103,0.0061711,0.19882
"89.019278994001/25.1026425443893",0.0052093,-0.0084211,-0.035814,0.013772,0.019081,0.0075368,-0.011404,0.021537,0.03095,0.18582
"89.1464054030568/28.5521596541715",0.0092631,-0.019708,0.031913,0.013049,0.0080953,0.02397,-0.010702,0.017847,-0.015672,-0.73482
"89.9236766153474/116.814275722247",0.017366,-0.013926,-0.038449,-0.0028182,-0.0083485,-0.0029409,0.0022787,-0.014363,-0.012814,0.49562
"91.0287153793939/114.549031734209",0.0074617,0.016097,-0.029876,0.012268,-0.014313,0.015251,-0.019622,-0.0010374,0.036518,-0.0054538
"91.0311505443722/21.8314903245712",-0.0010467,0.028091,0.0032173,-0.028934,-0.021939,-0.0026223,-0.026789,-0.015826,-0.012519,-0.0083536
"91.2400513182055/220.819123299586",0.014139,0.033051,-0.014768,0.00739,0.0030763,0.020355,0.006885,-0.0099854,0.012824,-0.0062285
"92.0345179329332/34.5265251442102",-0.016653,0.033791,-0.010666,0.011388,0.013299,-0.0039386,0.0049311,-0.0018022,0.015998,-0.0012621
"93.0081323336548/104.719816442208",0.019156,-0.01726,-0.03509,1.0111e-06,0.0026794,-0.013279,0.0076542,0.0045363,0.011669,0.0029137
"93.0345425540715/38.3948565494989",0.010155,-0.014442,-0.027177,0.021145,-0.012436,-0.0026106,0.023776,0.031842,-0.017885,-0.0011993
"94.7267916429785/147.287543437952",0.026689,0.016895,0.0098956,-0.001384,0.010599,-0.024235,0.020838,-0.0083492,0.012261,-0.0059683
"94.7334381155817/139.358776666911",0.027531,0.0046098,-0.025998,-0.009712,-0.0065964,0.009628,0.012828,-0.0090447,-0.020759,0.00075611
"94.9421369704974/26.3145987570672",0.0020328,-0.013654,-0.021007,0.019967,-0.035514,-0.034573,0.0095278,-0.0078844,0.0061793,-0.0017152
"94.9868918527/109.617339710508",-0.00678,-0.020365,-0.01047,-0.0039393,-0.041425,0.018788,0.016512,-0.0035544,0.027561,0.017333
