CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C00588	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine	3.555	row345	E511
C00082	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	6.2412	row77	E716
C00183	L-Valine; 2-Amino-3-methylbutyric acid	11.379	row15	E557
C00092	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester	11.658	row12	E118
C00079	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	5.0843	row135	E244
C00668	alpha-D-Glucose 6-phosphate	11.658	row12	E118
C01097	D-Tagatose 6-phosphate	11.658	row12	E118
C01172	beta-D-Glucose 6-phosphate	11.658	row12	E118
CE2172		5.0843	row135	E244
C05650	Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine	5.6587	row103	E67
C02291	L-Cystathionine	4.2944	row215	E25
C00431	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid	11.379	row15	E557
C05519	L-Allothreonine; L-allo-Threonine	4.2775	row217	E34
C00188	L-Threonine; 2-Amino-3-hydroxybutyric acid	4.2775	row217	E34
C00166	Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate	5.4474	row116	E448
C00079	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	5.0355	row139	E244
C03546	myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate	11.658	row12	E118
vacccoa	vaccenyl coenzyme A	-8.477	row35	E285
C06055	O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine	-3.6674	row325	E354
C00819	D-Glutamine; D-2-Aminoglutaramic acid	12.003	row11	E424
C00064	L-Glutamine; L-2-Aminoglutaramic acid	12.003	row11	E424
C02558	N-Acetylarylamine	5.6587	row103	E138
CE2026	3-methylcrotonoylglycine	4.222	row224	E435
C00525	D-Tryptophan	5.9056	row89	E116
C00093	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate	4.1463	row233	E495
C02642	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine	5.1449	row134	E362
CE2174		6.2412	row77	E716
CE3075	sorbitol 3-phosphate	11.658	row12	E118
C00065	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	8.4948	row34	E380
C00525	D-Tryptophan	6.4604	row69	E116
