SOURCE	TARGET	ENZYMES
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00085	2.6.1.16
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00082	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C01005	2.6.1.52
C00025	C00166	2.6.1.57;2.6.1.5;2.6.1.9;2.6.1.1
C00025	C06055	2.6.1.52
C00025	C00051	;3.4.11.4;2.3.2.2
C00025	C00183	2.6.1.6;2.6.1.42
C02291	C00065	4.2.1.22
C00588	C00093	;3.1.4.3
C00588	C01177	;3.1.4.3
C00103	C00446	2.7.7.12
C00103	C00092	5.4.2.2;
C00103	C00668	5.4.2.2;5.4.2.5
C00065	C00740	3.1.3.3
C00065	C01005	3.1.3.3
C00065	C02532	3.1.3.3
C00065	C00188	;4.3.1.19
C00065	C00542	4.2.1.22
C00064	C00085	2.6.1.16
C00064	C00079	;2.6.1.64
C00064	C00073	
C00064	C00152	3.5.1.38;6.3.5.4
C00064	C00166	2.6.1.64
C00740	C01005	3.1.3.3
C00740	C02532	3.1.3.3
C00275	C00085	5.3.1.8;2.7.1.1
C00275	C00636	5.4.2.8
C00275	C05345	5.3.1.8;2.7.1.1
C01005	C02532	3.1.3.3
C02763	C00166	5.3.2.1
C00051	C02238	2.3.2.4
C00668	C01172	5.3.1.9;5.1.3.15;2.7.1.1;2.7.1.2;2.7.1.147;3.1.3.9
C00668	C05345	5.3.1.9;2.7.1.1
C03546	C04006	3.1.3.25
C03546	C01177	3.1.3.25
C00092	C01172	5.3.1.9;2.7.1.1;2.7.1.2;2.7.1.147;3.1.3.9;1.1.1.49
C00092	C00085	5.3.1.9;2.7.1.1
C00092	C04006	5.5.1.4
C00092	C01177	;5.5.1.4
C00093	C05650	;3.1.4.46;1.14.16.5;3.1.4.2
C00093	C01177	;2.7.8.11;3.1.4.3
C00078	C00073	;1.4.3.2
C00078	C00166	1.4.3.2
C00078	C00079	;1.4.3.2;4.1.1.28
C00078	C00082	;1.4.3.2;4.1.1.28
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00079	C00082	;2.6.1.9;2.6.1.5;2.6.1.1;3.4.15.-;2.6.1.57;1.14.16.1;2.6.1.58;1.14.16.2;2.3.1.16;4.1.1.25;1.11.1.8;4.1.1.28;1.11.1.7;1.4.3.2;1.3.3.6;4.2.1.96;1.1.1.35;6.1.1.1;4.2.1.17;3.1.2.2;1.14.18.1;2.6.1.64;5.1.99.4;4.1.1.53;6.1.1.20;6.3.2.25;6.2.1.-;3.4.21.39;2.3.1.154
C00079	C00073	;1.4.3.2;2.6.1.5
C00079	C02505	1.11.1.7
C00079	C00166	1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;2.6.1.58;2.6.1.64
C00073	C00082	;1.4.3.2;2.6.1.5
C00073	C00166	1.4.3.2;2.6.1.5
C00073	C00719	2.1.1.5
C00085	C01097	2.7.1.11
C00085	C05345	2.7.1.11;2.2.1.1;5.3.1.8;5.3.1.9;2.7.1.105;3.1.3.11;2.7.1.1;3.1.3.46
C04006	C01177	5.5.1.4;3.1.3.66;3.1.3.25
C05345	C01097	2.7.1.11
C05345	C01172	5.3.1.9;2.7.1.1
C00082	C00166	1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;2.6.1.58;2.6.1.64
