SOURCE	TARGET	ENZYMES
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00082	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C00166	2.6.1.57;2.6.1.5;2.6.1.9;2.6.1.1
C00025	C06055	2.6.1.52
C00025	C00051	;3.4.11.4;2.3.2.2
C00025	C00183	2.6.1.6;2.6.1.42
C00078	C00073	;1.4.3.2
C00078	C00166	1.4.3.2
C00078	C00079	;1.4.3.2;4.1.1.28
C00078	C00082	;1.4.3.2;4.1.1.28
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00079	C00082	;2.6.1.9;2.6.1.5;2.6.1.1;3.4.15.-;2.6.1.57;1.14.16.1;2.6.1.58;1.14.16.2;2.3.1.16;4.1.1.25;1.11.1.8;4.1.1.28;1.11.1.7;1.4.3.2;1.3.3.6;4.2.1.96;1.1.1.35;6.1.1.1;4.2.1.17;3.1.2.2;1.14.18.1;2.6.1.64;5.1.99.4;4.1.1.53;6.1.1.20;6.3.2.25;6.2.1.-;3.4.21.39;2.3.1.154
C00079	C00073	;1.4.3.2;2.6.1.5
C00079	C02505	1.11.1.7
C00079	C00064	;2.6.1.64
C00079	C00166	1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;2.6.1.58;2.6.1.64
C00082	C00073	;1.4.3.2;2.6.1.5
C00082	C00166	1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;2.6.1.58;2.6.1.64
C00073	C00064	
C00073	C00166	1.4.3.2;2.6.1.5
C00073	C00719	2.1.1.5
C00152	C00064	3.5.1.38;6.3.5.4
C00064	C00166	2.6.1.64
C00166	C02763	5.3.2.1
