mzround	mz.x	time	DW_20180105_019	DW_20180105_043	DW_20180105_067	DW_20180105_103	DW_20180105_127	DW_20180105_013	DW_20180105_037	DW_20180105_061	DW_20180105_097	DW_20180105_121	Pathway	Overlap size	Pathway size	p-value	Empirical ID	massfeature_rows	Adduct	KEGG ID	compound_annotation	mz.y	retention_time	p.value	statistic	Truncated annotation
89.1073324	89.1073323927723	84.3218351874602	7436933	13464468.3333333	12207989	15338631	16105743.3333333	29925991	24906239.3333333	32560202	21767177.3333333	42103268.6666667	Arginine and Proline Metabolism	8	26	0.008208396	E132	row160	M+H[1+]	C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine	89.10733239	84.32183519	0.0013398	4.8091	Putrescine; 1,4-Butanediamine; 1,4-
89.1073324	89.1073323927723	84.3218351874602	7436933	13464468.3333333	12207989	15338631	16105743.3333333	29925991	24906239.3333333	32560202	21767177.3333333	42103268.6666667	Aspartate and asparagine metabolism	12	44	0.005217643	E132	row160	M+H[1+]	C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine	89.10733239	84.32183519	0.0013398	4.8091	Putrescine; 1,4-Butanediamine; 1,4-
90.1107289	90.1107288831015	82.134463879955	631955.333333333	9710604	301789.333333333	345773.333333333	735262.666666667	1579744.66666667	1031980	1015842.33333333	960277.333333333	2045807.66666667	Aspartate and asparagine metabolism	12	44	0.005217643	E132	row4392	M(C13)+H[1+]	C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine	90.11072888	82.13446388	0.5666	0.59766	Putrescine; 1,4-Butanediamine; 1,4-
90.1107289	90.1107288831015	82.134463879955	631955.333333333	9710604	301789.333333333	345773.333333333	735262.666666667	1579744.66666667	1031980	1015842.33333333	960277.333333333	2045807.66666667	Arginine and Proline Metabolism	8	26	0.008208396	E132	row4392	M(C13)+H[1+]	C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine	90.11072888	82.13446388	0.5666	0.59766	Putrescine; 1,4-Butanediamine; 1,4-
106.0498716	106.049871576931	88.170915040773	56067685.6666667	37999991.3333333	49557850.3333333	49531422.3333333	32981116.3333333	130921098.666667	120213878.666667	105552302	126981012.333333	171107223.333333	Glycerophospholipid metabolism	7	27	0.029708378	E380	row34	M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine	106.0498716	88.17091504	2.83e-5	8.4948	L-Serine; L-2-Amino-3-hydroxypropio
106.0498716	106.049871576931	88.170915040773	56067685.6666667	37999991.3333333	49557850.3333333	49531422.3333333	32981116.3333333	130921098.666667	120213878.666667	105552302	126981012.333333	171107223.333333	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E380	row34	M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine	106.0498716	88.17091504	2.83e-5	8.4948	L-Serine; L-2-Amino-3-hydroxypropio
118.0862209	118.086220911812	64.4970233506679	512309794.666667	513100004	529785910	545447187.666667	635786116.333333	1181102691.66667	1070879876.66667	1120496631	1193189452	1489397330	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E557	row15	M+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate	118.0862209	64.49702335	3.21e-6	11.379	5-Aminopentanoate; 5-Aminopentanoic
120.0655692	120.065569248837	64.0091291918488	8608445	18295831	16630081	22896762.3333333	25222659.3333333	37069705.3333333	34610213.6666667	51827634	37664610.3333333	48635815	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E34	row217	M+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid	120.0655692	64.00912919	0.0026966	4.2775	L-Allothreonine; L-allo-Threonine$L
130.0499244	130.049924404657	73.7879974534633	96911403.6666667	65582659.3333333	106884975.666667	95732609.6666667	70870781.6666667	247615782.333333	251140468.666667	250131171	253736904.333333	343951416.333333	Arginine and Proline Metabolism	8	26	0.008208396	E645	row23	M+H[1+]	C04281;C04282;C02238;C01879	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	130.0499244	73.78799745	9.2e-6	9.892	L-1-Pyrroline-3-hydroxy-5-carboxyla
130.0499244	130.049924404657	73.7879974534633	96911403.6666667	65582659.3333333	106884975.666667	95732609.6666667	70870781.6666667	247615782.333333	251140468.666667	250131171	253736904.333333	343951416.333333	Aspartate and asparagine metabolism	12	44	0.005217643	E645	row23	M+H[1+]	C04281;C04282;C02238;C01879	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	130.0499244	73.78799745	9.2e-6	9.892	L-1-Pyrroline-3-hydroxy-5-carboxyla
131.1178813	131.117881263879	41.0427384497766	10816142.6666667	16970606	14255440.6666667	14835105.3333333	15327329	36586905	24436568.6666667	63385342	27116647.3333333	48701981	Arginine and Proline Metabolism	8	26	0.008208396	E62	row141	M+H[1+]	C02714	N-Acetylputrescine	131.1178813	41.04273845	0.001046	5.0052	N-Acetylputrescine
131.1178813	131.117881263879	41.0427384497766	10816142.6666667	16970606	14255440.6666667	14835105.3333333	15327329	36586905	24436568.6666667	63385342	27116647.3333333	48701981	Aspartate and asparagine metabolism	12	44	0.005217643	E62	row141	M+H[1+]	C02714	N-Acetylputrescine	131.1178813	41.04273845	0.001046	5.0052	N-Acetylputrescine
131.1291723	131.129172303174	79.436378689575	403586.333333333	2723526	789281	1035191.33333333	1023124.33333333	9503150.33333333	11509691	1047301	12595556	7350694.66666667	Arginine and Proline Metabolism	8	26	0.008208396	E274	row390	M+H[1+]	C01149;C00179	4-Trimethylammoniobutanal$Agmatine; (4-Aminobutyl) guanidine	131.1291723	79.43637869	0.0096864	3.3769	4-Trimethylammoniobutanal$Agmatine;
133.060743	133.060742984343	79.1953934627369	55413376	28472828	66614203	43537320	25587829.6666667	107926586	96491768.6666667	110967722.666667	109329518.666667	141679695.666667	Aspartate and asparagine metabolism	12	44	0.005217643	E362	row134	M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid	133.060743	79.19539346	8.7987e-4	5.1449	3-Ureidopropionate; 3-Ureidopropano
