pathway	overlap_size	pathway_size	p.value	EID	massfeature_rows	adduct	compound_id	compound_annotation	mz	retention_time	p_value	statistic
Aspartate and asparagine metabolism	12	44	0.005217643	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
Aspartate and asparagine metabolism	12	44	0.005217643	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
Aspartate and asparagine metabolism	12	44	0.005217643	E132	row160	M+H[1+]	C00134	"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine"	89.10733239	84.32183519	0.0013398	4.8091
Aspartate and asparagine metabolism	12	44	0.005217643	E132	row4392	M(C13)+H[1+]	C00134	"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine"	90.11072888	82.13446388	0.5666	0.59766
Aspartate and asparagine metabolism	12	44	0.005217643	E62	row141	M+H[1+]	C02714	N-Acetylputrescine	131.1178813	41.04273845	0.001046	5.0052
Aspartate and asparagine metabolism	12	44	0.005217643	E309	row78	M+H[1+]	C01029;C00612	$N1-Acetylspermidine	188.1757789	77.39580777	0.00025383	6.22
Aspartate and asparagine metabolism	12	44	0.005217643	E87	row139	M+Na[1+]	C03078	4-Guanidinobutanamide	167.0896531	48.3251549	0.0010072	5.0355
Aspartate and asparagine metabolism	12	44	0.005217643	E42	row552	M+Na[1+]	C00487	Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate	185.1034282	61.13886905	0.019473	2.9139
Aspartate and asparagine metabolism	12	44	0.005217643	E42	row58	M[1+]	C00487	Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate	162.1124775	60.55637953	0.00012539	6.8932
Aspartate and asparagine metabolism	12	44	0.005217643	E645	row23	M+H[1+]	C04281;C04282;C02238;C01879	"L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"	130.0499244	73.78799745	9.20E-06	9.892
Aspartate and asparagine metabolism	12	44	0.005217643	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14E-06	12.003
Aspartate and asparagine metabolism	12	44	0.005217643	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481
Aspartate and asparagine metabolism	12	44	0.005217643	E362	row134	M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid	133.060743	79.19539346	0.00087987	5.1449
Aspartate and asparagine metabolism	12	44	0.005217643	E73	row225	M+H[1+]	C00437	N-Acetylornithine; N2-Acetyl-L-ornithine	175.1076739	73.35655664	0.0029191	4.2192
Aspartate and asparagine metabolism	12	44	0.005217643	E357	row130	M+H[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	176.1030798	85.78159895	0.00082835	5.1941
Aspartate and asparagine metabolism	12	44	0.005217643	E788	row171	M+H[1+]	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	308.0908928	65.46403543	0.0015698	4.6859
Biopterin metabolism	2	2	0.00721428	E244	row135	M+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	166.0862891	46.71675472	0.00094809	5.0843
Biopterin metabolism	2	2	0.00721428	E244	row139	M(C13)+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	167.0896531	48.3251549	0.0010072	5.0355
Biopterin metabolism	2	2	0.00721428	E716	row77	M+H[1+]	C00082;CE2174	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine$	182.0813095	50.8760616	0.00024807	6.2412
Arginine and Proline Metabolism	8	26	0.008208396	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
Arginine and Proline Metabolism	8	26	0.008208396	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
Arginine and Proline Metabolism	8	26	0.008208396	E132	row160	M+H[1+]	C00134	"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine"	89.10733239	84.32183519	0.0013398	4.8091
Arginine and Proline Metabolism	8	26	0.008208396	E132	row4392	M(C13)+H[1+]	C00134	"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine"	90.11072888	82.13446388	0.5666	0.59766
Arginine and Proline Metabolism	8	26	0.008208396	E213	row156	M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	150.0583747	53.13937985	0.001289	4.8394
Arginine and Proline Metabolism	8	26	0.008208396	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14E-06	12.003
