pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Aspartate and asparagine metabolism	12	44	0.00521764267425	E107,E132,E62,E309,E87,E42,E645,E424,E362,E73,E357,E788	C00217/C05938/C00025,C00134,C02714,C01029/C00612,C03078,C00487,C04281/C04282/C02238/C01879,C00819/C00064/C05100,C02642/C00152,C00437,C00327,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine$N-Acetylputrescine$/N1-Acetylspermidine$4-Guanidinobutanamide$Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate$L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate/5-Oxo-L-proline/5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine/L-Asparagine; 2-Aminosuccinamic acid$N-Acetylornithine; N2-Acetyl-L-ornithine$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Biopterin metabolism	2	2	0.00721427965187	E244,E716	C00079/CE2172,C00082/CE2174	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid/$L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine/
Arginine and Proline Metabolism	8	26	0.00820839646353	E107,E132,E213,E424,E645,E357,E62,E274	C00217/C05938/C00025,C00134,C00073,C00819/C00064/C05100,C04281/C04282/C02238/C01879,C00327,C02714,C01149/C00179	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine$L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate/5-Oxo-L-proline/5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$N-Acetylputrescine$4-Trimethylammoniobutanal/Agmatine; (4-Aminobutyl) guanidine
Aminosugars metabolism	5	14	0.0132016695784	E107,E484,E312,E118,E424	C00217/C05938/C00025,C00645/C01074/C00140/C01132,C00329,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075,C00819/C00064/C05100	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate
Glycine, serine, alanine and threonine metabolism	9	34	0.0144907441254	E34,E107,E788,E354,E557,E213,E154,E435,E380	C05519/C00188,C00217/C05938/C00025,C00051,C06055,C00431/C00183/C00719,C00073,C01005/C02532,CE2026,C00065/C00740	L-Allothreonine; L-allo-Threonine/L-Threonine; 2-Amino-3-hydroxybutyric acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid/L-Valine; 2-Amino-3-methylbutyric acid/Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid$O-Phospho-L-serine; L-O-Phosphoserine; 3-Phosphoserine; Dexfosfoserine/D-O-Phosphoserine$3-methylcrotonoylglycine$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Fatty acid oxidation	2	3	0.0187428413926	E285,E27	vacccoa/C03035/CE2244/odecoa/C16162/od2coa,hpdcacoa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA$heptadecanoyl coa
Nitrogen metabolism	3	7	0.0231730897705	E107,E424,E362	C00217/C05938/C00025,C00819/C00064/C05100,C02642/C00152	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine/L-Asparagine; 2-Aminosuccinamic acid
Glycerophospholipid metabolism	7	27	0.0297083783963	E495,E327,E67,E118,E382,E511,E380	C00093,C00836,C05650,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075,C00093,C00588/C05594,C00065/C00740	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate$Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate$sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate$Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine/3-Methoxy-4-hydroxyphenylethyleneglycol$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Tyrosine metabolism	8	34	0.0390159336001	E107,E244,E788,E716,E138,E511,E448,E424	C00217/C05938/C00025,C00079/CE2172,C00051,C00082/CE2174,C02505/C02558,C00588/C05594,C05838/C00166/C02763/C00811,C00819/C00064/C05100	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid/$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine/$2-Phenylacetamide/N-Acetylarylamine$Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine/3-Methoxy-4-hydroxyphenylethyleneglycol$cis-2-Hydroxycinnamate; 2-Coumarinate/Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate/enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate/4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate
Hexose phosphorylation	3	9	0.0499604622181	E448,E312,E118	C05838/C00166/C02763/C00811,C00329,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	cis-2-Hydroxycinnamate; 2-Coumarinate/Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate/enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate/4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate$D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
