massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	275.8504243	143.4130512	6.27e-09	-25.355	
row2	964.350138	56.66848005	1.07e-08	-23.702	
row3	120.0905129	63.2379041	1.46e-07	16.997	
row4	662.3289428	46.34883527	1.61e-07	16.784	
row5	118.0625208	63.16977045	2.99e-07	15.501	
row6	284.2583966	27.86455661	4.15e-07	14.859	
row7	119.0896711	52.68871387	5.61e-07	14.29	
row8	149.063854	83.88483754	5.72e-07	14.254	
row9	279.0475015	94.59657467	7.32e-07	13.804	
row10	148.0604384	81.30205665	1.15e-06	13.025	
row11	147.0764601	83.24263844	2.14e-06	12.003	
row12	261.0368721	107.169058	2.67e-06	11.658	
row13	360.150112	92.47695043	2.88e-06	11.546	
row14	442.1037093	94.9266314	2.94e-06	11.51	
row15	118.0862209	64.49702335	3.21e-06	11.379	
row16	106.1149798	46.08808315	3.89e-06	-11.095	
row17	148.0794285	73.45498722	4.86e-06	10.771	
row18	700.2849552	47.16322534	5.71e-06	10.543	
row19	543.328683	41.32404858	5.83e-06	10.514	
row20	261.9100079	136.7628199	6.7e-06	10.321	
row21	234.1084892	81.68915831	8.06e-06	10.069	
row22	466.265295	42.2804905	8.67e-06	-9.9717	
row23	130.0499244	73.78799745	9.2e-06	9.892	
row24	160.0546323	46.11131167	1.03e-05	9.7377	
row25	472.745149	46.21358066	1.08e-05	-9.6849	
row26	701.2881038	47.49265006	1.39e-05	9.3612	
row27	539.0767018	86.19014799	1.52e-05	9.2435	
row28	304.862728	47.54127556	1.85e-05	-9.0052	
row29	113.0347129	38.12021935	1.94e-05	8.9458	
row30	214.4615064	136.2492822	2.11e-05	8.8398	
row31	131.0532726	81.55676351	2.17e-05	8.8105	
row32	466.3291517	38.24122648	2.19e-05	8.798	
row33	159.0513402	49.21372735	2.76e-05	8.5225	
row34	106.0498716	88.17091504	2.83e-05	8.4948	
row35	1050.309001	57.67723956	2.87e-05	-8.477	
row36	255.9780707	72.74848732	3.18e-05	8.3596	
row37	116.0454744	46.73641782	3.42e-05	8.277	
row38	259.1134566	121.6032048	3.74e-05	8.1727	
row39	125.9599654	137.3510276	4.24e-05	8.0334	
row40	508.3399922	41.88975743	4.41e-05	7.9881	
row41	1026.743231	78.39190693	4.66e-05	-7.9291	
row42	895.5666281	46.98171156	5.16e-05	-7.8169	
row43	241.1546605	51.57425445	5.6e-05	7.7283	
row44	494.2568229	45.91995785	5.87e-05	-7.6772	
row45	554.315901	53.58264947	5.94e-05	-7.6635	
row46	465.2614769	55.82336318	6.25e-05	-7.6087	
row47	965.5365636	47.8465566	7.27e-05	-7.449	
row48	441.1000847	94.19581802	7.28e-05	7.4479	
row49	360.0841126	50.43860401	7.81e-05	7.3736	
row50	185.423142	137.7110831	8.7e-05	7.2622	
row51	615.7748353	166.7139336	8.83e-05	-7.2472	
row52	288.2897014	27.4530015	8.85e-05	7.2448	
row53	161.0920988	75.17051545	9.57e-05	7.165	
row54	258.1101613	123.8101304	0.00010017	7.1183	
row55	544.3403801	41.63136506	0.00011439	6.9845	
row56	377.1109575	52.0371395	0.00011972	6.9391	
row57	377.2089526	50.0179894	0.00012515	-6.8951	
row58	162.1124775	60.55637953	0.00012539	6.8932	
row59	300.0043342	71.90981987	0.00013092	6.8505	
row60	220.8836361	136.7884704	0.00013444	6.8244	
row61	928.6188069	27.94301641	0.00014122	6.7762	
row62	453.7675667	42.60255926	0.00014282	-6.7652	
row63	181.4905428	159.8983435	0.00014606	6.7433	
row64	125.9862824	143.9414946	0.00014982	6.7185	
row65	1038.326995	55.64985066	0.00015306	-6.6978	
row66	174.1431159	43.89586123	0.00016149	-6.6459	
row67	196.0640146	87.23343772	0.00017326	6.5783	
row68	645.6805402	47.16737419	0.00017635	-6.5615	
row69	205.0971798	47.06005548	0.00019615	6.4604	
row70	774.4500026	42.63553562	0.00019993	-6.4423	
row71	212.1337362	82.18138586	0.00020169	-6.4341	
