"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"86.0964188108605/225.559702974491"," 0.18261828"," 0.05836804","-1.68316534"," 0.12303754"," 0.46592180"," 1.93948595","-0.25363854"," 0.37086417"," 0.17616858","-1.37966045"
"86.0964461032768/48.632693182622"," 0.6201918","-0.1366842"," 1.2582662"," 0.7129139"," 1.4628278","-1.6077703","-1.1430857","-0.4467173","-0.4467173","-0.2732249"
"87.0552994261642/83.4040022055353"," 0.85952405"," 0.63865820","-0.13597736"," 0.93694796"," 0.98859140","-0.08728436","-0.19384742","-1.66406425","-1.73526114"," 0.39271292"
"87.0998190298869/49.3901706090967"," 0.7924955"," 0.1282828"," 0.8759942"," 0.8559944"," 1.6183664","-1.0124039","-1.3923139","-0.8914742","-0.5249617","-0.4499796"
"88.021555553358/190.230810770136","-0.3351221","-0.8604160"," 2.2364695","-0.3397639"," 0.1430539","-1.5607814","-0.0282644","-0.2113531"," 0.2896310"," 0.6665465"
"88.0393335819434/105.170241656666"," 0.77462881"," 0.22681942","-0.72435231"," 0.47545361"," 1.01150515","-0.05155339"," 1.62769057","-0.85805737","-1.47109496","-1.01103952"
"88.0631080950494/86.3797876479539","-0.01662036"," 0.14811007"," 2.34380331"," 0.30150012"," 0.35874523","-1.41372858","-1.03040853","-0.29773025","-0.33516623","-0.05850479"
"88.0757034521673/230.906802675193","-0.30157878"," 0.78705752","-1.53365319"," 0.76350380"," 0.27807160"," 1.14065242"," 0.05772045"," 0.55417865","-1.90775354"," 0.16180108"
"88.0757082617287/172.349302060859"," 0.4662081"," 2.3223740","-0.8349965","-0.6978282","-0.4790115","-0.7180703"," 0.3788804","-0.4735705","-0.7207421"," 0.7567565"
"89.0293639248993/172.697212518952","-0.1155101","-0.1455308"," 2.0266656"," 0.1362882"," 0.5606811","-1.6750664","-0.1970940","-1.0054094","-0.3326616"," 0.7476374"
"89.0382486350421/174.744680073482","-0.59400660","-0.79698613"," 2.04223425","-0.46811929","-0.11198621","-1.59227965"," 0.56310999","-0.08851916"," 0.20574482"," 0.84080797"
"89.0419381996243/76.1821534478647"," 0.7816432"," 0.6952724"," 0.0811932"," 0.8479619"," 1.5230490","-0.8684457","-1.9143516","-0.4028837","-0.3348786","-0.4085600"
"89.1073323927723/84.3218351874602"," 0.9451009"," 0.6409333"," 0.4842080"," 0.5544774"," 1.7172958","-1.2640630","-1.1603381","-0.7476327","-0.4918292","-0.6781525"
"89.4663897529691/110.975265548124","-0.10257854"," 0.24599795"," 1.08665837"," 0.61614833","-0.08134846"," 0.42998804","-2.25547142","-1.14561726"," 0.76108777"," 0.44513522"
