"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"85.0284347779035/229.219868755835","944217.3333","736911.3333","426748.6667","914812.3333","692965","761447.6667","390453","1115726.667","817556","245437.6667"
"85.0284534305818/43.5800092846697","278071.3333","987560","891659","398108.6667","326120.3333","90976.33333","122718.8333","564936.6667","173674","269459"
"85.0841255529866/91.3379769479406","810518.3333","842697.6667","3666096.333","1122958.667","1275770","599429","122718.8333","1084342.667","1230030.5","2146915"
"85.1332167132269/68.2956725126046","1370290","1699695.667","122718.8333","2335719.333","1609460","2412399","122718.8333","1836864.333","1644449","122718.8333"
"85.8961301096265/143.215208012","1576458.667","2872900.333","1406821.333","611737","908680","1230675.667","122718.8333","2273589","2291196.333","2206842.333"
"85.9630568305443/278.111636842328","565856.6667","539123.3333","92091.33333","521349","762144.3333","157483","91490.5","278560.5","294756","482785.6667"
"86.0964188108605/225.559702974491","5787444","5636036.667","3892128","5447162.333","6301132","12329038.67","7827766","7655088","7624897","4285129.333"
"86.0964461032768/48.632693182622","84710660","65143785.33","143285088","87063406.67","119136730.7","32421124.33","52706028.67","55196499.67","63519280.67","72138605.33"
"86.5177270537164/41.6908258422125","640943.6667","257675.6667","930407","372978.6667","848315.3333","321355.3333","3165955","251292","506653","676766.6667"
"86.5177302401121/133.17528364964","3045334.333","2878745.667","2971359.667","2583302","2415290.333","2568605.333","2113976.5","2546518","3117597","2944893.333"
"86.9554993597382/276.186386222631","285120.6667","259225.3333","8595.333333","361094","570944","256366.6667","778455.5","347004.3333","263947","193360"
"86.9556733776934/146.480361849569","2061702.333","1973121.667","1051242.667","1807785","1976728","2342204.667","1502669","1841147.333","1537983.333","1484859.333"
"86.9557567017319/19.2844332609162","64284.66667","86136","96615","706060.3333","86415.33333","95408.33333","57352.5","68247.66667","64175.33333","86452.33333"
"86.9639833488759/129.393819635376","1446289.333","1230747.667","924344.3333","1543507.667","1357834.333","992256.5","122718.8333","1501015","122718.8333","4859414.5"
"87.0552994261642/83.4040022055353","3971964.333","2974049","2739081","4026674","4295571.333","1553325.667","2826120","1299202","1115613.333","4016341.333"
"87.0804854388574/106.368479056623","1398540.333","1688313.667","1100674.333","1060642.333","1233855","1645992","5022513.333","1767508.333","1649611","1734281.333"
"87.0934730174358/46.5289205453345","329925.5","218622.3333","422977.3333","254449.3333","548378","122718.8333","122718.8333","310859","159989.5","1164713.333"
"87.0998190298869/49.3901706090967","5779378","4232264.333","9582496.667","5904660","8225698.333","2341264.667","3802101.333","3599477.667","4492001","5123655.333"
"87.9426814547373/138.131466612902","2104024.667","2134842","2352696","2343121.667","1972889.667","2186065.667","2443612.333","1348652.333","1279282.333","1373061"
"87.973674864835/145.990450348187","1758539.333","1477385","2470482","1120551.333","1375780","1345489.333","122718.8333","1432549.667","1615322","1577638.333"
"88.021555553358/190.230810770136","8498345.333","7036920.333","31692019.67","8026625.667","9298975.667","4891125.333","14879664.67","9987834.333","12738216","16665900"
"88.0393335819434/105.170241656666","7245024","5601933.333","5610886.667","6001544.667","7570777.667","4514358.667","17344667","4298894.667","3608228.667","4731063.667"
"88.0631080950494/86.3797876479539","23688293.33","24322367","76270975","23528751.33","23683283.67","11145098","22255132.67","22312865.33","23670664.33","29884294.33"
"88.0757034521673/230.906802675193","48405496.33","127222208.7","20888290","118948586","78247440.33","167381239","81056292","107075986","11488342.33","85137500.67"
"88.0757082617287/172.349302060859","27837632","157758987.7","11294100.67","8023639.333","9667152.333","7373957.5","33749927","11629651.33","10214199.33","45807754"
"88.3575457086612/136.94718114091","4806515","1202129.667","1041846","1201359.667","1443219","613047.6667","6828455.5","1027695.5","1654198.667","1955409"
"89.0249112107213/57.4868067581237","1349680.667","1680768","1358667","2000307.667","1269003.667","536290.3333","2365001","1311143","1807138.333","1723509.667"
"89.0249143293055/175.268008616769","570021.6667","213170","808300","292227.3333","536398","272383","459382.3333","653976.6667","414094","317813"
"89.0293639248993/172.697212518952","1407209","1353801.333","7435680","1658509.667","1843059.667","654360.3333","3051124.333","1988677.333","2485320.667","3969983.333"
"89.0382486350421/174.744680073482","50906114.67","44569121.67","176241131","49352847.33","53744842.67","29927948.33","92191152","59912441.67","75033578.67","98451912"
"89.0419381996243/76.1821534478647","10618271","9937263","10116421","10542909","16488417","3249561.667","3092738.667","5720335.667","6306939.333","6743251"
"89.1073323927723/84.3218351874602","29925991","24906239.33","32560202","21767177.33","42103268.67","7436933","13464468.33","12207989","15338631","16105743.33"
"89.4653709626159/265.528003209704","28997","122718.8333","503599.3333","569888.5","697268.5","514720.6667","2746654","515185","858873.6667","1328078.667"
"89.4653890705765/200.823071770574","318973.5","122718.8333","1493728.333","478864","791440.5","780050.6667","3305000","469400.6667","1774195","1835536.667"
"89.4663897529691/110.975265548124","802794","1670136.667","8630781.5","2730862.5","677329.5","2291429.667","122718.8333","1276197.5","5013837","3856333.5"
"89.5067808040141/112.247905960162","12431602.67","8241700.333","6306002","11827497","6549577.333","80919584.67","2695253.333","8649979.333","628980.6667","4250679"
