"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"86.0964188108605/225.559702974491","5787444","5636036.667","3892128","5447162.333","6301132","12329038.67","7827766","7655088","7624897","4285129.333"
"86.0964461032768/48.632693182622","84710660","65143785.33","143285088","87063406.67","119136730.7","32421124.33","52706028.67","55196499.67","63519280.67","72138605.33"
"87.0552994261642/83.4040022055353","3971964.333","2974049","2739081","4026674","4295571.333","1553325.667","2826120","1299202","1115613.333","4016341.333"
"87.0998190298869/49.3901706090967","5779378","4232264.333","9582496.667","5904660","8225698.333","2341264.667","3802101.333","3599477.667","4492001","5123655.333"
"88.021555553358/190.230810770136","8498345.333","7036920.333","31692019.67","8026625.667","9298975.667","4891125.333","14879664.67","9987834.333","12738216","16665900"
"88.0393335819434/105.170241656666","7245024","5601933.333","5610886.667","6001544.667","7570777.667","4514358.667","17344667","4298894.667","3608228.667","4731063.667"
"88.0631080950494/86.3797876479539","23688293.33","24322367","76270975","23528751.33","23683283.67","11145098","22255132.67","22312865.33","23670664.33","29884294.33"
"88.0757034521673/230.906802675193","48405496.33","127222208.7","20888290","118948586","78247440.33","167381239","81056292","107075986","11488342.33","85137500.67"
"88.0757082617287/172.349302060859","27837632","157758987.7","11294100.67","8023639.333","9667152.333","7373957.5","33749927","11629651.33","10214199.33","45807754"
"89.0293639248993/172.697212518952","1407209","1353801.333","7435680","1658509.667","1843059.667","654360.3333","3051124.333","1988677.333","2485320.667","3969983.333"
"89.0382486350421/174.744680073482","50906114.67","44569121.67","176241131","49352847.33","53744842.67","29927948.33","92191152","59912441.67","75033578.67","98451912"
"89.0419381996243/76.1821534478647","10618271","9937263","10116421","10542909","16488417","3249561.667","3092738.667","5720335.667","6306939.333","6743251"
"89.1073323927723/84.3218351874602","29925991","24906239.33","32560202","21767177.33","42103268.67","7436933","13464468.33","12207989","15338631","16105743.33"
"89.4663897529691/110.975265548124","802794","1670136.667","8630781.5","2730862.5","677329.5","2291429.667","122718.8333","1276197.5","5013837","3856333.5"
"89.5067808040141/112.247905960162","12431602.67","8241700.333","6306002","11827497","6549577.333","80919584.67","2695253.333","8649979.333","628980.6667","4250679"
"89.5399462231937/174.615351027158","2959418","2633359","11282756.67","3101157.333","3423624","1616639","5111556","3556004.333","4157534","6087752"
"90.0361743663453/174.601273274815","1497445.667","1450648.333","7237515.333","1723322.333","1825991","542754.5","3290544","1694007","2514075.667","3787661"
"90.0549902934047/68.2822564651166","122913020","115354041.7","289294672.3","116459312.7","149449575","58353245","124721814.7","73190066","95741555.67","117402586.7"
"90.289682293613/133.584979524367","122718.8333","122718.8333","2189077","2663884.667","2011331.333","122718.8333","4130614.5","2027739.333","2789530.667","1657466.333"
"90.5206191654871/136.469637168026","5605904","5229752.667","3006392","4735338.333","6347347","3074974.667","4611765","3416623","4244391.5","122718.8333"
"90.5312589506411/140.746795924679","7356363","5934612.333","6063414.5","6763725","5138898.667","5838636.333","122718.8333","122718.8333","7228325.5","122718.8333"
"90.5315547095888/276.825175870608","1597282.5","1840142.5","1117683.5","1953944.667","623699.5","1913337.667","122718.8333","122718.8333","1691890","122718.8333"
"90.7388320502105/76.2601386846705","122718.8333","122718.8333","7129209","1534411.333","122718.8333","122718.8333","122718.8333","5538197.333","122718.8333","2829160"
"90.7450357119961/69.0529198207693","122718.8333","8534790.5","122718.8333","122718.8333","122718.8333","122718.8333","17185958.67","3660539","122718.8333","122718.8333"
"91.0243834571624/187.452812402146","122718.8333","122718.8333","15583925.5","122718.8333","34759083","122718.8333","122718.8333","122718.8333","14843746","122718.8333"
"91.0542291133118/42.7227261536276","9396445.667","10540661.67","12134285.33","12535822.33","13119264","7339086","8302053.667","9352220.333","8917499.333","9257262.667"
"91.3078131109236/132.001920797402","1505036.667","1826965.667","4308568.333","1213614","925192.6667","1267063","122718.8333","4386351.667","122718.8333","122718.8333"
"91.5220470294769/134.264625632701","2458638.5","3250748.5","122718.8333","1792567","1273317.5","1159632","122718.8333","122718.8333","122718.8333","122718.8333"
"91.5255078675576/137.016101452792","5490580","4681759","122718.8333","3299993","2288393.667","4321653.667","122718.8333","122718.8333","2287485","2237991.333"
"92.0256039311104/138.459379294148","1927626.333","1626317","1735438","1365321.667","1658103.667","122718.8333","122718.8333","1937560","122718.8333","2716267.5"
"92.2789178652471/67.6775640305237","2093168.333","3135140","3037160.5","929475.3333","3510066","1918789.333","122718.8333","3100177.333","8653350","122718.8333"
"92.5222967188903/149.392485781621","68489178.33","67069376","69592656.33","57086516.33","61781850.67","63608885","50376875.67","53458218.33","54940041","54920223.67"
"92.5404636154247/106.895765465487","1310214.667","862803","3433143.667","1028652","3486749","2142921.667","13727108.5","2661765","2955764.5","4534972"
"93.0199965113838/131.393247324224","1631865","1814663","122718.8333","2311290","2478910.5","2401019.667","122718.8333","122718.8333","2292770","122718.8333"
"93.0388043369147/105.46092843611","1377408.333","122718.8333","122718.8333","122718.8333","2166526.5","2571486","122718.8333","5937623","4340281.667","122718.8333"
"93.7949699758544/113.54553819079","122718.8333","122718.8333","4325242","1376719.667","860250.3333","122718.8333","6420348.5","2853335.667","3095110.667","3548692.667"
"93.8013717816183/116.725607496484","2768889","2404896.667","4704142","1486086","7162876","4301738","26015475.5","1897703","2711590","4156723.667"
"94.0510200308734/111.342787111799","2522869.5","2381431.333","8935791","3086312.333","3113286.667","4258751.5","30624784.67","5254861","8403430","9440987.667"
"94.5151601548833/133.493239025311","2152459","1960779.5","122718.8333","1520334","1546250","122718.8333","122718.8333","122718.8333","1501347.5","122718.8333"
"94.5284668701983/110.268562925916","6607812.333","1018201","3301933.333","2699131.5","779988.6667","1546790","24433139.33","2153920","2836367.667","4536430.667"
"94.5624869755435/111.066550655459","1180861.333","1173369","3462796","7526570","647251.3333","963932","5342511","2119780.667","2806590.333","3627856.667"
"95.0267431459666/111.455209937429","958184.6667","964795.6667","3685657.333","896783.3333","1016349","1615661","35149154","2329961.333","3157910","4422250"
"95.0488991805766/70.8749864856101","6484177.667","8050167.667","5052487.333","8297629","9250138.333","6361945.667","18036171.33","8087157.667","2659265.333","4002407.5"
"95.5229660321685/141.610514691645","2975911","2849965","2799130.667","2192125.667","2887977","2379353","122718.8333","1916968.5","122718.8333","122718.8333"
"97.9913528195963/187.777417643873","474032201","405396380.7","448515145","376172747.7","287676831","292320206.7","306405436","320951283.3","393611672.7","356109647.7"
"98.0964189054742/257.134532402362","1420320","5487105","1193976.333","2231247.667","1301586.667","3499781.667","5718590.667","2132772","2039107.667","2832035"
"98.3110769077939/95.4190935060189","122718.8333","122718.8333","1162278","1782072.333","1460617.667","122718.8333","9999447","1792076.667","1802002.333","1894216.333"
"98.5120716329636/96.0093081751803","32380917.33","6907770","2506272.333","5588262.667","5743644.333","125425761","6458674.333","10243368.33","122718.8333","1458538"
"98.5120895722921/219.275208188834","39238250.33","7608786.5","37764089.67","7339653","122718.8333","41289330.33","11361974.67","16205819.67","15265288.67","25476007.33"
"98.7211582696782/161.99303106932","12429943","49528695.33","4870214.333","11237739.67","6067042.667","6802682","103383866.7","6687752","6748340","4070680"
"98.721164290326/244.134026489549","2114576.667","1813744.333","6595460.667","3723798","1105343","2319707","81572276.33","5193082","10058371.33","7584753.667"
"98.978079149657/223.418074086201","9372874.667","8144183.333","13055727.67","6488259.667","8441555","7133359.333","154847005","13154457.33","10897321.33","17563670.33"
"98.9865828094624/132.51657053743","122718.8333","122718.8333","6474230.333","3899903.333","3251119.667","8805361","122718.8333","5873373","122718.8333","122718.8333"
"98.9868061630096/256.577586619509","122718.8333","122718.8333","2414069","1486988.667","1126343.5","1893128","122718.8333","2031983.667","122718.8333","122718.8333"
"98.9946281200182/273.451133223595","2164703","3774768.333","5427498.667","2147025.333","2262079","3903971.333","1632517","2891430.667","9117327","5258225.333"
