"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"86.0964188108605/225.559702974491",-0.019696,-0.032014,-0.0073236,-0.011443,-0.0032923,0.0015471,-0.020811,-0.026427,0.0043861,0.10375
"86.0964461032768/48.632693182622",-0.010278,0.042915,-0.012665,0.0052073,-0.0031754,-0.0042945,0.0064301,-0.0076678,-0.0017633,-0.31279
"87.0552994261642/83.4040022055353",-0.020736,0.017667,0.034888,0.026775,0.003589,0.0024825,0.013684,-0.0041956,-0.010485,-0.12994
"87.0998190298869/49.3901706090967",-0.018766,0.037083,-0.0078448,0.011682,-0.0015097,-0.0096349,-0.00098636,-0.0084466,-0.00015923,0.15296
"88.021555553358/190.230810770136",0.01984,0.035619,-0.010862,0.0067342,0.014592,-0.0022463,-0.00089192,0.0023199,9.1746e-05,-0.10919
"88.0393335819434/105.170241656666",-0.01503,0.0048558,0.043992,-0.022918,0.004288,0.012907,0.0089657,-0.035307,-0.0068044,0.027367
"88.0631080950494/86.3797876479539",0.0010538,0.040959,-0.017064,0.0051513,0.020625,0.00059605,0.0028746,0.023136,0.00075961,0.23458
"88.0757034521673/230.906802675193",-0.018651,-0.020638,0.015932,0.010522,-0.0099017,0.04539,0.017842,0.0022588,-0.014235,0.10656
"88.0757082617287/172.349302060859",-0.0049367,-0.0027314,0.035478,0.00033662,-0.017153,-0.00084015,0.032056,0.046641,0.038853,-0.80285
"89.0293639248993/172.697212518952",0.008666,0.042805,0.0059189,0.015448,0.010793,-0.001948,0.00056314,0.011459,-0.0011802,0.00081953
"89.0382486350421/174.744680073482",0.02478,0.030806,-0.0021663,0.0018846,0.01229,0.0049159,0.0013958,0.0046147,-0.0012464,0.0042465
"89.0419381996243/76.1821534478647",-0.024011,0.026829,-0.015641,0.011765,-0.018117,-0.0091923,0.0039003,0.0040118,0.0079633,-0.012274
"89.1073323927723/84.3218351874602",-0.020646,0.035165,-0.0024342,0.00032379,-0.0099261,-0.0097164,0.0041491,-0.0052218,0.014819,0.0029314
"89.4663897529691/110.975265548124",-0.0080396,0.012589,-0.023975,0.04,0.011893,-0.029714,-0.027135,0.03274,-0.0062399,-0.0021266
"89.5067808040141/112.247905960162",-0.023657,-0.01224,-0.0013356,0.019744,0.02981,0.029279,0.019326,-0.0072343,-0.0089646,-0.014277
"89.5399462231937/174.615351027158",0.0098857,0.042914,-0.0025948,0.01049,0.012558,0.00078787,0.0060549,0.0097221,-0.0024844,0.0066526
"90.0361743663453/174.601273274815",0.0066305,0.041651,0.016914,0.013348,0.0098302,-0.011772,-0.0046305,0.01088,-0.003152,-0.00072595
"90.0549902934047/68.2822564651166",-0.0036282,0.043831,0.011962,-0.0013323,0.019137,2.7087e-06,-0.00032297,-0.0002643,0.0042863,-0.002981
