"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"DW_20180105_013",-24.774,2.5707,1.8599,-1.3646,6.0574,-21.629,21.908,-10.15,3.6614,8.4538e-15
"DW_20180105_037",-31.043,-1.3993,12.449,-6.5643,-4.5746,2.6735,0.48101,24.469,12.687,-2.75e-15
"DW_20180105_061",22.49,35.5,-9.9227,1.0308,27.356,2.171,-3.4936,5.8468,0.90158,5.1481e-15
"DW_20180105_097",-29.394,9.2666,-0.33852,-1.4006,-6.2532,0.12619,-2.29,4.7806,-27.33,1.9601e-15
"DW_20180105_121",-28.433,25.972,0.65444,4.4299,-12.84,10.496,-11.035,-17.46,9.8711,6.2846e-15
"DW_20180105_019",-21.331,-42.094,-1.7628,12.458,18.383,3.6107,-10.927,-4.8213,0.34714,5.5799e-15
"DW_20180105_043",35.09,-7.5348,31.054,-18.815,2.7485,5.8727,-0.30417,-8.1637,-3.1211,-1.0263e-14
"DW_20180105_067",12.938,-14.896,-27.962,-13.179,-6.8394,17.187,13.631,-0.85469,1.1871,1.4103e-14
"DW_20180105_103",27.824,-7.0954,-13.598,-7.1696,-12.337,-22.747,-16.853,1.9675,2.5692,-7.9936e-15
"DW_20180105_127",36.632,-0.29051,7.5673,30.574,-11.701,2.2376,8.8818,4.3859,-0.77336,-1.2879e-14
