"","V","p.value","-log10(p)","FDR"
"87.0998190298869/49.3901706090967",25,0.0079365,2.1004,0.1033
"88.0631080950494/86.3797876479539",25,0.0079365,2.1004,0.1033
"89.0419381996243/76.1821534478647",25,0.0079365,2.1004,0.1033
"89.1073323927723/84.3218351874602",25,0.0079365,2.1004,0.1033
"90.0549902934047/68.2822564651166",25,0.0079365,2.1004,0.1033
"103.054228202735/50.1027522432094",25,0.0079365,2.1004,0.1033
"103.123271149075/34.2081422168367",25,0.0079365,2.1004,0.1033
"104.070605506448/55.6939598340273",25,0.0079365,2.1004,0.1033
"105.11029137541/44.4084864086832",25,0.0079365,2.1004,0.1033
"106.049871576931/88.170915040773",25,0.0079365,2.1004,0.1033
"109.063342377175/52.9563285126645",25,0.0079365,2.1004,0.1033
"110.071295164999/95.3028574848839",25,0.0079365,2.1004,0.1033
"112.08687611214/87.2224913025398",25,0.0079365,2.1004,0.1033
"116.034234335138/84.8914695953819",25,0.0079365,2.1004,0.1033
"118.062520806163/63.1697704457412",25,0.0079365,2.1004,0.1033
"118.086220911812/64.4970233506679",25,0.0079365,2.1004,0.1033
"118.1098487204/56.3463174514717",25,0.0079365,2.1004,0.1033
"119.089671060396/52.6887138697839",25,0.0079365,2.1004,0.1033
"120.044394838938/31.3117896929622",25,0.0079365,2.1004,0.1033
"120.065569248837/64.0091291918488",25,0.0079365,2.1004,0.1033
"120.080811130712/52.9447904954522",25,0.0079365,2.1004,0.1033
"120.090512887998/63.2379041018179",25,0.0079365,2.1004,0.1033
"121.047648837508/36.2985517881303",25,0.0079365,2.1004,0.1033
"121.084155081595/46.9712340515778",25,0.0079365,2.1004,0.1033
"123.044068912117/64.2117539522898",25,0.0079365,2.1004,0.1033
"124.039365343756/46.3405046741807",25,0.0079365,2.1004,0.1033
"125.042686039455/35.6377830694489",25,0.0079365,2.1004,0.1033
"129.138598920783/253.49583007581",0,0.0079365,2.1004,0.1033
"130.049924404657/73.7879974534633",25,0.0079365,2.1004,0.1033
"131.053272580019/81.5567635053217",25,0.0079365,2.1004,0.1033
"131.117881263879/41.0427384497766",25,0.0079365,2.1004,0.1033
"132.101958094343/46.7839351403457",25,0.0079365,2.1004,0.1033
"132.129966870587/46.6000524085271",25,0.0079365,2.1004,0.1033
"133.031987635862/60.4769336832652",25,0.0079365,2.1004,0.1033
"133.060742984343/79.1953934627369",25,0.0079365,2.1004,0.1033
"133.105324176884/38.9621758469549",25,0.0079365,2.1004,0.1033
"134.018863844177/68.8126405372699",25,0.0079365,2.1004,0.1033
"136.061881963348/25.8997213601845",25,0.0079365,2.1004,0.1033
"136.075769900508/52.6322906696118",25,0.0079365,2.1004,0.1033
